winner,loser,probability
Juventus,Chievo,0.660747778914
Napoli,Lazio,0.554737940551
Roma,Torino,0.551572816595
Bologna,Spal,0.857921570391
Cagliari,Empoli,0.780482146572
Milan,Genoa,0.573738091645
Udinese,Parma,0.658846635117
Fiorentina,Sampdoria,0.554390262029
Inter,Sassuolo,0.784215790644
Atalanta,Frosinone,0.909462836407
Lazio,Juventus,0.525199930882
Milan,Napoli,0.588361550322
Parma,Spal,0.833285822095
Cagliari,Sassuolo,0.65233882245
Fiorentina,Chievo,0.543658019821
Bologna,Frosinone,0.898719501301
Genoa,Empoli,0.748886500507
Torino,Inter,0.557542380339
Sampdoria,Udinese,0.57775306065
Atalanta,Roma,0.52908901775
Roma,Milan,0.511595171024
Inter,Bologna,0.627306516722
Juventus,Parma,0.735239725469
Fiorentina,Udinese,0.507554104947
Atalanta,Cagliari,0.555161366243
Chievo,Empoli,0.713717602894
Lazio,Frosinone,0.906582015673
Napoli,Sampdoria,0.587514112746
Genoa,Sassuolo,0.73825175235
Torino,Spal,0.900410075837
Milan,Cagliari,0.679299559278
Lazio,Empoli,0.835963505714
Sampdoria,Frosinone,0.916733323384
Bologna,Genoa,0.514679590198
Inter,Parma,0.65308685649
Juventus,Sassuolo,0.740672594572
Fiorentina,Napoli,0.509811633682
Roma,Chievo,0.587273886921
Atalanta,Spal,0.920212055946
Torino,Udinese,0.626071621787
Roma,Bologna,0.648096677941
Udinese,Chievo,0.575277175994
Fiorentina,Spal,0.886457117426
Juventus,Frosinone,0.9316169299
Lazio,Genoa,0.518793966339
Milan,Atalanta,0.503314678137
Cagliari,Parma,0.642629247785
Inter,Sampdoria,0.577411860167
Sassuolo,Empoli,0.554902104772
Napoli,Torino,0.53955805909
Torino,Atalanta,0.550290971342
Sampdoria,Cagliari,0.594487607664
Milan,Empoli,0.865067625573
Genoa,Chievo,0.505154262387
Fiorentina,Inter,0.519842376443
Juventus,Bologna,0.562982240884
Napoli,Parma,0.662128796982
Roma,Frosinone,0.914100211738
Sassuolo,Spal,0.778887841714
Lazio,Udinese,0.611120492105
Lazio,Roma,0.520190361039
Udinese,Bologna,0.556433513557
Torino,Chievo,0.658236286664
Atalanta,Fiorentina,0.573003688864
Genoa,Frosinone,0.907966817526
Inter,Cagliari,0.547902577173
Parma,Empoli,0.636166778444
Sampdoria,Spal,0.881494005322
Milan,Sassuolo,0.819744523058
Napoli,Juventus,0.536870802756
Sampdoria,Atalanta,0.500000536638
Bologna,Cagliari,0.541617822045
Roma,Empoli,0.848621014765
Genoa,Parma,0.595694923032
Fiorentina,Lazio,0.521127383061
Milan,Chievo,0.618327091716
Napoli,Sassuolo,0.735497067799
Inter,Spal,0.91795460128
Torino,Frosinone,0.911643303937
Juventus,Udinese,0.628686144964
Torino,Bologna,0.640774933338
Atalanta,Chievo,0.651979263649
Fiorentina,Cagliari,0.525373979055
Empoli,Frosinone,0.737237486353
Juventus,Genoa,0.536756745508
Lazio,Parma,0.720473578856
Roma,Spal,0.903146157288
Sampdoria,Sassuolo,0.699206144793
Napoli,Udinese,0.622198632186
Milan,Inter,0.598052212387
Atalanta,Parma,0.659705727511
Chievo,Cagliari,0.521862132183
Juventus,Empoli,0.845933433595
Udinese,Genoa,0.531020464065
Inter,Lazio,0.544455376817
Milan,Sampdoria,0.546715723388
Spal,Frosinone,0.509002710333
Bologna,Sassuolo,0.717261934506
Fiorentina,Torino,0.505822409778
Roma,Napoli,0.555517254357
Atalanta,Bologna,0.634375798522
Chievo,Sassuolo,0.636055409476
Roma,Fiorentina,0.587530207345
Inter,Genoa,0.520079188428
Juventus,Cagliari,0.564423035933
Lazio,Spal,0.894779588631
Napoli,Empoli,0.798656544175
Parma,Frosinone,0.817388312419
Torino,Sampdoria,0.591509228853
Milan,Udinese,0.664087348344
Inter,Atalanta,0.535887236145
Bologna,Chievo,0.559198292969
Udinese,Empoli,0.792464082296
Fiorentina,Frosinone,0.920475836005
Napoli,Genoa,0.612957455187
Roma,Sampdoria,0.514411750439
Cagliari,Spal,0.885900297351
Lazio,Sassuolo,0.783313203223
Torino,Parma,0.665690182217
Juventus,Milan,0.506404336605
Fiorentina,Bologna,0.605144294108
Torino,Cagliari,0.642077538326
Atalanta,Empoli,0.840798087729
Sampdoria,Genoa,0.568179239667
Inter,Frosinone,0.907017150288
Juventus,Spal,0.901375437106
Milan,Lazio,0.599289252473
Napoli,Chievo,0.575872992203
Parma,Sassuolo,0.550710195128
Roma,Udinese,0.633521652013
Napoli,Atalanta,0.546202002998
Lazio,Chievo,0.643839605906
Juventus,Fiorentina,0.582487790037
Cagliari,Frosinone,0.898185017871
Milan,Parma,0.700440164018
Empoli,Spal,0.711765144864
Sampdoria,Bologna,0.511829639974
Udinese,Sassuolo,0.730355381059
Torino,Genoa,0.53406725825
Inter,Roma,0.52151947047
Inter,Juventus,0.526527794034
Roma,Cagliari,0.649387260395
Bologna,Empoli,0.781484194368
Genoa,Spal,0.86995851612
Sampdoria,Lazio,0.5086237061
Torino,Milan,0.503608628532
Napoli,Frosinone,0.910349183126
Chievo,Parma,0.625579624003
Fiorentina,Sassuolo,0.767932385992
Atalanta,Udinese,0.619566070992
Juventus,Torino,0.546430173153
Lazio,Atalanta,0.534562418497
Milan,Bologna,0.678064497074
Napoli,Cagliari,0.638274547018
Fiorentina,Empoli,0.77680483194
Sassuolo,Frosinone,0.800094331053
Inter,Udinese,0.530172130823
Roma,Genoa,0.541745721355
Chievo,Spal,0.878258071615
Sampdoria,Parma,0.620959207539
Inter,Chievo,0.645059906765
Sampdoria,Empoli,0.816082425919
Atalanta,Genoa,0.610300831803
Lazio,Cagliari,0.546626911933
Milan,Fiorentina,0.534283087221
Napoli,Spal,0.898969660347
Bologna,Parma,0.643973514369
Torino,Sassuolo,0.793877013875
Udinese,Frosinone,0.880117110026
Roma,Juventus,0.548897055924
Juventus,Atalanta,0.553057096053
Lazio,Bologna,0.626060561844
Genoa,Cagliari,0.567789715683
Fiorentina,Parma,0.632281980259
Milan,Frosinone,0.94085374772
Napoli,Inter,0.553465843646
Roma,Sassuolo,0.744510782314
Udinese,Spal,0.892917652754
Sampdoria,Chievo,0.531627817641
Torino,Empoli,0.801210891717
Chievo,Frosinone,0.864537023592
Inter,Empoli,0.836692505838
Fiorentina,Genoa,0.580417614545
Juventus,Sampdoria,0.509394683005
Torino,Lazio,0.558812121323
Milan,Spal,0.913917003334
Napoli,Bologna,0.556384439163
Roma,Parma,0.739263107388
Atalanta,Sassuolo,0.789308434354
Cagliari,Udinese,0.522985504188
Cagliari,Empoli,0.728012143814
Sampdoria,Fiorentina,0.529955630096
Atalanta,Frosinone,0.929098210438
Milan,Genoa,0.655303151709
Inter,Sassuolo,0.727610842579
Juventus,Chievo,0.582398494778
Lazio,Napoli,0.531871302372
Torino,Roma,0.535983007784
Bologna,Spal,0.886491120215
Udinese,Parma,0.586236569731
Milan,Napoli,0.500518730825
Roma,Atalanta,0.558185354303
Bologna,Frosinone,0.873272769188
Fiorentina,Chievo,0.623319467183
Genoa,Empoli,0.799042087939
Juventus,Lazio,0.561567591973
Parma,Spal,0.796842384508
Udinese,Sampdoria,0.504544573029
Cagliari,Sassuolo,0.716072381458
Inter,Torino,0.529222438608
Atalanta,Cagliari,0.635688415016
Chievo,Empoli,0.767631184091
Lazio,Frosinone,0.926711361038
Genoa,Sassuolo,0.676439700759
Inter,Bologna,0.546451047553
Juventus,Parma,0.66809207824
Napoli,Sampdoria,0.50270248957
Torino,Spal,0.922221858978
Fiorentina,Udinese,0.589915936946
Milan,Roma,0.576969058278
Atalanta,Spal,0.897983415919
Genoa,Bologna,0.566399327415
Roma,Chievo,0.665387982725
Napoli,Fiorentina,0.575737818243
Lazio,Empoli,0.791272114581
Milan,Cagliari,0.600838208568
Inter,Parma,0.721544869844
Sampdoria,Frosinone,0.894611136129
Juventus,Sassuolo,0.795701105156
Torino,Udinese,0.544123885119
Milan,Atalanta,0.590977658794
Cagliari,Parma,0.56940814915
Sassuolo,Empoli,0.617309398088
Lazio,Genoa,0.60178176863
Sampdoria,Inter,0.507336866835
Juventus,Frosinone,0.912510357686
Torino,Napoli,0.547613835232
Roma,Bologna,0.567916138159
Fiorentina,Spal,0.910613002468
Chievo,Udinese,0.504627898668
Juventus,Bologna,0.643345216023
Genoa,Chievo,0.585135275493
Inter,Fiorentina,0.565560420259
Roma,Frosinone,0.932928333228
Lazio,Udinese,0.52888945366
Milan,Empoli,0.825565348727
Napoli,Parma,0.729813811291
Sampdoria,Cagliari,0.513293283714
Sassuolo,Spal,0.736606957284
Atalanta,Torino,0.536778363739
Fiorentina,Atalanta,0.512513332405
Inter,Cagliari,0.628629655169
Parma,Empoli,0.695940848169
Genoa,Frosinone,0.884184724098
Roma,Lazio,0.566674709868
Milan,Sassuolo,0.768399103559
Sampdoria,Spal,0.906453503463
Torino,Chievo,0.579766532682
Bologna,Udinese,0.524446777286
Juventus,Napoli,0.5503829725
Cagliari,Bologna,0.538755983873
Milan,Chievo,0.694577226282
Lazio,Fiorentina,0.564251430578
Torino,Frosinone,0.930900985317
Inter,Spal,0.895263346944
Juventus,Udinese,0.546804582152
Genoa,Parma,0.667884848005
Roma,Empoli,0.806085382044
Atalanta,Sampdoria,0.584801144996
Napoli,Sassuolo,0.791162319933
Atalanta,Chievo,0.573230040035
Fiorentina,Cagliari,0.606496757526
Empoli,Frosinone,0.69361364545
Juventus,Genoa,0.619506613129
Lazio,Parma,0.651919433175
Napoli,Udinese,0.540162033188
Roma,Spal,0.924483193045
Sampdoria,Sassuolo,0.758891409975
Torino,Bologna,0.560320291036
Milan,Inter,0.510902129631
Bologna,Sassuolo,0.653622162038
Cagliari,Chievo,0.557753756933
Torino,Fiorentina,0.57976540967
Spal,Frosinone,0.555705248818
Lazio,Inter,0.54185629626
Juventus,Empoli,0.802927367168
Atalanta,Parma,0.727602831118
Milan,Sampdoria,0.630967582295
Genoa,Udinese,0.550785934286
Napoli,Roma,0.531874614597
Atalanta,Bologna,0.553714158973
Juventus,Cagliari,0.644643669523
Napoli,Empoli,0.842289438544
Parma,Frosinone,0.850277975749
Inter,Genoa,0.603057328899
Milan,Udinese,0.583606057369
Roma,Fiorentina,0.501900325088
Lazio,Spal,0.917552607463
Chievo,Sassuolo,0.700895788392
Torino,Sampdoria,0.506692336596
Chievo,Bologna,0.520448783213
Cagliari,Spal,0.857229829113
Fiorentina,Frosinone,0.899087783159
Atalanta,Inter,0.550700193531
Lazio,Sassuolo,0.726589215385
Napoli,Genoa,0.530093485352
Torino,Parma,0.733056905919
Roma,Sampdoria,0.599207040907
Udinese,Empoli,0.741456494499
Milan,Juventus,0.581862328301
Atalanta,Empoli,0.796912279159
Napoli,Chievo,0.654512602687
Fiorentina,Bologna,0.523912968675
Inter,Frosinone,0.92707224824
Milan,Lazio,0.512232842745
Roma,Udinese,0.551775709576
Juventus,Spal,0.923020292916
Genoa,Sampdoria,0.514659337228
Parma,Sassuolo,0.618839645422
Torino,Cagliari,0.561763030694
Sampdoria,Bologna,0.593121559192
Cagliari,Frosinone,0.872644673726
Empoli,Spal,0.664851655041
Torino,Genoa,0.616866844497
Fiorentina,Juventus,0.503119579972
Lazio,Chievo,0.564770474168
Atalanta,Napoli,0.540744582248
Milan,Parma,0.764290863838
Udinese,Sassuolo,0.667816944822
Roma,Inter,0.565409999141
Juventus,Inter,0.560299541335
Atalanta,Udinese,0.537475280116
Bologna,Empoli,0.729132134415
Chievo,Parma,0.551908584457
Fiorentina,Sassuolo,0.709285813715
Napoli,Frosinone,0.929831425871
Roma,Cagliari,0.56935310959
Genoa,Spal,0.896726637819
Lazio,Sampdoria,0.576111815555
Milan,Torino,0.584490571545
Chievo,Spal,0.848311426256
Fiorentina,Empoli,0.823477707711
Roma,Genoa,0.624390241675
Torino,Juventus,0.540973190352
Atalanta,Lazio,0.551973791418
Milan,Bologna,0.599432381919
Napoli,Cagliari,0.557829902076
Sampdoria,Parma,0.691756416469
Sassuolo,Frosinone,0.761420755127
Inter,Udinese,0.612385406501
Atalanta,Genoa,0.527399374201
Bologna,Parma,0.570796200411
Lazio,Cagliari,0.627385496229
Milan,Fiorentina,0.619628684545
Udinese,Frosinone,0.904528261339
Inter,Chievo,0.56603561756
Napoli,Spal,0.92102935487
Sampdoria,Empoli,0.768301458504
Torino,Sassuolo,0.738590422964
Juventus,Roma,0.538763374813
Sampdoria,Chievo,0.611494849109
Torino,Empoli,0.844470178503
Cagliari,Genoa,0.513216161766
Atalanta,Juventus,0.534088893047
Lazio,Bologna,0.545174686535
Milan,Frosinone,0.923755726714
Fiorentina,Parma,0.702327348377
Roma,Sassuolo,0.799056804749
Udinese,Spal,0.865467278838
Inter,Napoli,0.533197090974
Atalanta,Sassuolo,0.733388299322
Napoli,Bologna,0.636965927061
Udinese,Cagliari,0.557830910945
Genoa,Fiorentina,0.502564139262
Chievo,Frosinone,0.891264612225
Inter,Empoli,0.792121196807
Roma,Parma,0.672529552001
Milan,Spal,0.933335205841
Juventus,Sampdoria,0.594208779589
Lazio,Torino,0.527895356586
