Time,HT,vs,VT
2018/8/19 0:00,Chievo,vs,Juventus
2018/8/19 2:30,Lazio,vs,Napoli
2018/8/20 0:00,Torino,vs,Roma
2018/8/20 2:30,Bologna,vs,Spal
2018/8/20 2:30,Empoli,vs,Cagliari
2018/8/20 2:30,Milan,vs,Genoa
2018/8/20 2:30,Parma,vs,Udinese
2018/8/20 2:30,Sampdoria,vs,Fiorentina
2018/8/20 2:30,Sassuolo,vs,Inter
2018/8/21 2:30,Atalanta,vs,Frosinone
2018/8/26 0:00,Juventus,vs,Lazio
2018/8/26 2:30,Napoli,vs,Milan
2018/8/27 0:00,Spal,vs,Parma
2018/8/27 2:30,Cagliari,vs,Sassuolo
2018/8/27 2:30,Fiorentina,vs,Chievo
2018/8/27 2:30,Frosinone,vs,Bologna
2018/8/27 2:30,Genoa,vs,Empoli
2018/8/27 2:30,Inter,vs,Torino
2018/8/27 2:30,Udinese,vs,Sampdoria
2018/8/28 2:30,Roma,vs,Atalanta
2018/9/1 2:30,Milan,vs,Roma
2018/9/2 0:00,Bologna,vs,Inter
2018/9/2 2:30,Parma,vs,Juventus
2018/9/3 0:00,Fiorentina,vs,Udinese
2018/9/3 2:30,Atalanta,vs,Cagliari
2018/9/3 2:30,Chievo,vs,Empoli
2018/9/3 2:30,Lazio,vs,Frosinone
2018/9/3 2:30,Sampdoria,vs,Napoli
2018/9/3 2:30,Sassuolo,vs,Genoa
2018/9/3 2:30,Torino,vs,Spal
2018/9/16 21:00,Cagliari,vs,Milan
2018/9/16 21:00,Empoli,vs,Lazio
2018/9/16 21:00,Frosinone,vs,Sampdoria
2018/9/16 21:00,Genoa,vs,Bologna
2018/9/16 21:00,Inter,vs,Parma
2018/9/16 21:00,Juventus,vs,Sassuolo
2018/9/16 21:00,Napoli,vs,Fiorentina
2018/9/16 21:00,Roma,vs,Chievo
2018/9/16 21:00,Spal,vs,Atalanta
2018/9/16 21:00,Udinese,vs,Torino
2018/9/23 21:00,Bologna,vs,Roma
2018/9/23 21:00,Chievo,vs,Udinese
2018/9/23 21:00,Fiorentina,vs,Spal
2018/9/23 21:00,Frosinone,vs,Juventus
2018/9/23 21:00,Lazio,vs,Genoa
2018/9/23 21:00,Milan,vs,Atalanta
2018/9/23 21:00,Parma,vs,Cagliari
2018/9/23 21:00,Sampdoria,vs,Inter
2018/9/23 21:00,Sassuolo,vs,Empoli
2018/9/23 21:00,Torino,vs,Napoli
2018/9/27 2:30,Atalanta,vs,Torino
2018/9/27 2:30,Cagliari,vs,Sampdoria
2018/9/27 2:30,Empoli,vs,Milan
2018/9/27 2:30,Genoa,vs,Chievo
2018/9/27 2:30,Inter,vs,Fiorentina
2018/9/27 2:30,Juventus,vs,Bologna
2018/9/27 2:30,Napoli,vs,Parma
2018/9/27 2:30,Roma,vs,Frosinone
2018/9/27 2:30,Spal,vs,Sassuolo
2018/9/27 2:30,Udinese,vs,Lazio
2018/9/30 0:00,Roma,vs,Lazio
2018/9/30 21:00,Bologna,vs,Udinese
2018/9/30 21:00,Chievo,vs,Torino
2018/9/30 21:00,Fiorentina,vs,Atalanta
2018/9/30 21:00,Frosinone,vs,Genoa
2018/9/30 21:00,Inter,vs,Cagliari
2018/9/30 21:00,Parma,vs,Empoli
2018/9/30 21:00,Sampdoria,vs,Spal
2018/9/30 21:00,Sassuolo,vs,Milan
2018/10/1 2:30,Juventus,vs,Napoli
2018/10/7 21:00,Atalanta,vs,Sampdoria
2018/10/7 21:00,Cagliari,vs,Bologna
2018/10/7 21:00,Empoli,vs,Roma
2018/10/7 21:00,Genoa,vs,Parma
2018/10/7 21:00,Lazio,vs,Fiorentina
2018/10/7 21:00,Milan,vs,Chievo
2018/10/7 21:00,Napoli,vs,Sassuolo
2018/10/7 21:00,Spal,vs,Inter
2018/10/7 21:00,Torino,vs,Frosinone
2018/10/7 21:00,Udinese,vs,Juventus
2018/10/21 21:00,Bologna,vs,Torino
2018/10/21 21:00,Chievo,vs,Atalanta
2018/10/21 21:00,Fiorentina,vs,Cagliari
2018/10/21 21:00,Frosinone,vs,Empoli
2018/10/21 21:00,Juventus,vs,Genoa
2018/10/21 21:00,Parma,vs,Lazio
2018/10/21 21:00,Roma,vs,Spal
2018/10/21 21:00,Sampdoria,vs,Sassuolo
2018/10/21 21:00,Udinese,vs,Napoli
2018/10/22 2:30,Inter,vs,Milan
2018/10/28 22:00,Atalanta,vs,Parma
2018/10/28 22:00,Cagliari,vs,Chievo
2018/10/28 22:00,Empoli,vs,Juventus
2018/10/28 22:00,Genoa,vs,Udinese
2018/10/28 22:00,Lazio,vs,Inter
2018/10/28 22:00,Milan,vs,Sampdoria
2018/10/28 22:00,Spal,vs,Frosinone
2018/10/28 22:00,Sassuolo,vs,Bologna
2018/10/28 22:00,Torino,vs,Fiorentina
2018/10/29 3:30,Napoli,vs,Roma
2018/11/4 22:00,Bologna,vs,Atalanta
2018/11/4 22:00,Chievo,vs,Sassuolo
2018/11/4 22:00,Fiorentina,vs,Roma
2018/11/4 22:00,Inter,vs,Genoa
2018/11/4 22:00,Juventus,vs,Cagliari
2018/11/4 22:00,Lazio,vs,Spal
2018/11/4 22:00,Napoli,vs,Empoli
2018/11/4 22:00,Parma,vs,Frosinone
2018/11/4 22:00,Sampdoria,vs,Torino
2018/11/4 22:00,Udinese,vs,Milan
2018/11/11 22:00,Atalanta,vs,Inter
2018/11/11 22:00,Chievo,vs,Bologna
2018/11/11 22:00,Empoli,vs,Udinese
2018/11/11 22:00,Frosinone,vs,Fiorentina
2018/11/11 22:00,Genoa,vs,Napoli
2018/11/11 22:00,Roma,vs,Sampdoria
2018/11/11 22:00,Spal,vs,Cagliari
2018/11/11 22:00,Sassuolo,vs,Lazio
2018/11/11 22:00,Torino,vs,Parma
2018/11/12 3:30,Milan,vs,Juventus
2018/11/25 22:00,Bologna,vs,Fiorentina
2018/11/25 22:00,Cagliari,vs,Torino
2018/11/25 22:00,Empoli,vs,Atalanta
2018/11/25 22:00,Genoa,vs,Sampdoria
2018/11/25 22:00,Inter,vs,Frosinone
2018/11/25 22:00,Juventus,vs,Spal
2018/11/25 22:00,Lazio,vs,Milan
2018/11/25 22:00,Napoli,vs,Chievo
2018/11/25 22:00,Parma,vs,Sassuolo
2018/11/25 22:00,Udinese,vs,Roma
2018/12/2 22:00,Atalanta,vs,Napoli
2018/12/2 22:00,Chievo,vs,Lazio
2018/12/2 22:00,Fiorentina,vs,Juventus
2018/12/2 22:00,Frosinone,vs,Cagliari
2018/12/2 22:00,Milan,vs,Parma
2018/12/2 22:00,Spal,vs,Empoli
2018/12/2 22:00,Sampdoria,vs,Bologna
2018/12/2 22:00,Sassuolo,vs,Udinese
2018/12/2 22:00,Torino,vs,Genoa
2018/12/3 3:30,Roma,vs,Inter
2018/12/8 3:30,Juventus,vs,Inter
2018/12/9 22:00,Cagliari,vs,Roma
2018/12/9 22:00,Empoli,vs,Bologna
2018/12/9 22:00,Genoa,vs,Spal
2018/12/9 22:00,Lazio,vs,Sampdoria
2018/12/9 22:00,Milan,vs,Torino
2018/12/9 22:00,Napoli,vs,Frosinone
2018/12/9 22:00,Parma,vs,Chievo
2018/12/9 22:00,Sassuolo,vs,Fiorentina
2018/12/9 22:00,Udinese,vs,Atalanta
2018/12/16 3:30,Torino,vs,Juventus
2018/12/16 22:00,Atalanta,vs,Lazio
2018/12/16 22:00,Bologna,vs,Milan
2018/12/16 22:00,Cagliari,vs,Napoli
2018/12/16 22:00,Fiorentina,vs,Empoli
2018/12/16 22:00,Frosinone,vs,Sassuolo
2018/12/16 22:00,Inter,vs,Udinese
2018/12/16 22:00,Roma,vs,Genoa
2018/12/16 22:00,Spal,vs,Chievo
2018/12/16 22:00,Sampdoria,vs,Parma
2018/12/22 22:00,Chievo,vs,Inter
2018/12/22 22:00,Empoli,vs,Sampdoria
2018/12/22 22:00,Genoa,vs,Atalanta
2018/12/22 22:00,Lazio,vs,Cagliari
2018/12/22 22:00,Milan,vs,Fiorentina
2018/12/22 22:00,Napoli,vs,Spal
2018/12/22 22:00,Parma,vs,Bologna
2018/12/22 22:00,Sassuolo,vs,Torino
2018/12/22 22:00,Udinese,vs,Frosinone
2018/12/23 3:30,Juventus,vs,Roma
2018/12/27 3:30,Atalanta,vs,Juventus
2018/12/27 3:30,Bologna,vs,Lazio
2018/12/27 3:30,Cagliari,vs,Genoa
2018/12/27 3:30,Fiorentina,vs,Parma
2018/12/27 3:30,Frosinone,vs,Milan
2018/12/27 3:30,Inter,vs,Napoli
2018/12/27 3:30,Roma,vs,Sassuolo
2018/12/27 3:30,Spal,vs,Udinese
2018/12/27 3:30,Sampdoria,vs,Chievo
2018/12/27 3:30,Torino,vs,Empoli
2018/12/29 22:00,Chievo,vs,Frosinone
2018/12/29 22:00,Empoli,vs,Inter
2018/12/29 22:00,Genoa,vs,Fiorentina
2018/12/29 22:00,Juventus,vs,Sampdoria
2018/12/29 22:00,Lazio,vs,Torino
2018/12/29 22:00,Milan,vs,Spal
2018/12/29 22:00,Napoli,vs,Bologna
2018/12/29 22:00,Parma,vs,Roma
2018/12/29 22:00,Sassuolo,vs,Atalanta
2018/12/29 22:00,Udinese,vs,Cagliari
2018/1/20 22:00,Cagliari,vs,Empoli
2018/1/20 22:00,Fiorentina,vs,Sampdoria
2018/1/20 22:00,Frosinone,vs,Atalanta
2018/1/20 22:00,Genoa,vs,Milan
2018/1/20 22:00,Inter,vs,Sassuolo
2018/1/20 22:00,Juventus,vs,Chievo
2018/1/20 22:00,Napoli,vs,Lazio
2018/1/20 22:00,Roma,vs,Torino
2018/1/20 22:00,Spal,vs,Bologna
2018/1/20 22:00,Udinese,vs,Parma
2018/1/27 3:30,Milan,vs,Napoli
2018/1/27 22:00,Atalanta,vs,Roma
2018/1/27 22:00,Bologna,vs,Frosinone
2018/1/27 22:00,Chievo,vs,Fiorentina
2018/1/27 22:00,Empoli,vs,Genoa
2018/1/27 22:00,Lazio,vs,Juventus
2018/1/27 22:00,Parma,vs,Spal
2018/1/27 22:00,Sampdoria,vs,Udinese
2018/1/27 22:00,Sassuolo,vs,Cagliari
2018/1/27 22:00,Torino,vs,Inter
2018/2/3 22:00,Cagliari,vs,Atalanta
2018/2/3 22:00,Empoli,vs,Chievo
2018/2/3 22:00,Frosinone,vs,Lazio
2018/2/3 22:00,Genoa,vs,Sassuolo
2018/2/3 22:00,Inter,vs,Bologna
2018/2/3 22:00,Juventus,vs,Parma
2018/2/3 22:00,Napoli,vs,Sampdoria
2018/2/3 22:00,Spal,vs,Torino
2018/2/3 22:00,Udinese,vs,Fiorentina
2018/2/4 3:30,Roma,vs,Milan
2018/2/10 22:00,Atalanta,vs,Spal
2018/2/10 22:00,Bologna,vs,Genoa
2018/2/10 22:00,Chievo,vs,Roma
2018/2/10 22:00,Fiorentina,vs,Napoli
2018/2/10 22:00,Lazio,vs,Empoli
2018/2/10 22:00,Milan,vs,Cagliari
2018/2/10 22:00,Parma,vs,Inter
2018/2/10 22:00,Sampdoria,vs,Frosinone
2018/2/10 22:00,Sassuolo,vs,Juventus
2018/2/10 22:00,Torino,vs,Udinese
2018/2/17 22:00,Atalanta,vs,Milan
2018/2/17 22:00,Cagliari,vs,Parma
2018/2/17 22:00,Empoli,vs,Sassuolo
2018/2/17 22:00,Genoa,vs,Lazio
2018/2/17 22:00,Inter,vs,Sampdoria
2018/2/17 22:00,Juventus,vs,Frosinone
2018/2/17 22:00,Napoli,vs,Torino
2018/2/17 22:00,Roma,vs,Bologna
2018/2/17 22:00,Spal,vs,Fiorentina
2018/2/17 22:00,Udinese,vs,Chievo
2018/2/24 22:00,Bologna,vs,Juventus
2018/2/24 22:00,Chievo,vs,Genoa
2018/2/24 22:00,Fiorentina,vs,Inter
2018/2/24 22:00,Frosinone,vs,Roma
2018/2/24 22:00,Lazio,vs,Udinese
2018/2/24 22:00,Milan,vs,Empoli
2018/2/24 22:00,Parma,vs,Napoli
2018/2/24 22:00,Sampdoria,vs,Cagliari
2018/2/24 22:00,Sassuolo,vs,Spal
2018/2/24 22:00,Torino,vs,Atalanta
2018/3/3 22:00,Atalanta,vs,Fiorentina
2018/3/3 22:00,Cagliari,vs,Inter
2018/3/3 22:00,Empoli,vs,Parma
2018/3/3 22:00,Genoa,vs,Frosinone
2018/3/3 22:00,Lazio,vs,Roma
2018/3/3 22:00,Milan,vs,Sassuolo
2018/3/3 22:00,Spal,vs,Sampdoria
2018/3/3 22:00,Torino,vs,Chievo
2018/3/3 22:00,Udinese,vs,Bologna
2018/3/4 3:30,Napoli,vs,Juventus
2018/3/10 22:00,Bologna,vs,Cagliari
2018/3/10 22:00,Chievo,vs,Milan
2018/3/10 22:00,Fiorentina,vs,Lazio
2018/3/10 22:00,Frosinone,vs,Torino
2018/3/10 22:00,Inter,vs,Spal
2018/3/10 22:00,Juventus,vs,Udinese
2018/3/10 22:00,Parma,vs,Genoa
2018/3/10 22:00,Roma,vs,Empoli
2018/3/10 22:00,Sampdoria,vs,Atalanta
2018/3/10 22:00,Sassuolo,vs,Napoli
2018/3/17 22:00,Atalanta,vs,Chievo
2018/3/17 22:00,Cagliari,vs,Fiorentina
2018/3/17 22:00,Empoli,vs,Frosinone
2018/3/17 22:00,Genoa,vs,Juventus
2018/3/17 22:00,Lazio,vs,Parma
2018/3/17 22:00,Napoli,vs,Udinese
2018/3/17 22:00,Spal,vs,Roma
2018/3/17 22:00,Sassuolo,vs,Sampdoria
2018/3/17 22:00,Torino,vs,Bologna
2018/3/18 3:30,Milan,vs,Inter
2018/3/31 21:00,Bologna,vs,Sassuolo
2018/3/31 21:00,Chievo,vs,Cagliari
2018/3/31 21:00,Fiorentina,vs,Torino
2018/3/31 21:00,Frosinone,vs,Spal
2018/3/31 21:00,Inter,vs,Lazio
2018/3/31 21:00,Juventus,vs,Empoli
2018/3/31 21:00,Parma,vs,Atalanta
2018/3/31 21:00,Sampdoria,vs,Milan
2018/3/31 21:00,Udinese,vs,Genoa
2018/4/1 2:30,Roma,vs,Napoli
2018/4/4 2:30,Atalanta,vs,Bologna
2018/4/4 2:30,Cagliari,vs,Juventus
2018/4/4 2:30,Empoli,vs,Napoli
2018/4/4 2:30,Frosinone,vs,Parma
2018/4/4 2:30,Genoa,vs,Inter
2018/4/4 2:30,Milan,vs,Udinese
2018/4/4 2:30,Roma,vs,Fiorentina
2018/4/4 2:30,Spal,vs,Lazio
2018/4/4 2:30,Sassuolo,vs,Chievo
2018/4/4 2:30,Torino,vs,Sampdoria
2018/4/7 21:00,Bologna,vs,Chievo
2018/4/7 21:00,Cagliari,vs,Spal
2018/4/7 21:00,Fiorentina,vs,Frosinone
2018/4/7 21:00,Inter,vs,Atalanta
2018/4/7 21:00,Lazio,vs,Sassuolo
2018/4/7 21:00,Napoli,vs,Genoa
2018/4/7 21:00,Parma,vs,Torino
2018/4/7 21:00,Sampdoria,vs,Roma
2018/4/7 21:00,Udinese,vs,Empoli
2018/4/8 2:30,Juventus,vs,Milan
2018/4/14 21:00,Atalanta,vs,Empoli
2018/4/14 21:00,Chievo,vs,Napoli
2018/4/14 21:00,Fiorentina,vs,Bologna
2018/4/14 21:00,Frosinone,vs,Inter
2018/4/14 21:00,Milan,vs,Lazio
2018/4/14 21:00,Roma,vs,Udinese
2018/4/14 21:00,Spal,vs,Juventus
2018/4/14 21:00,Sampdoria,vs,Genoa
2018/4/14 21:00,Sassuolo,vs,Parma
2018/4/14 21:00,Torino,vs,Cagliari
2018/4/20 21:00,Bologna,vs,Sampdoria
2018/4/20 21:00,Cagliari,vs,Frosinone
2018/4/20 21:00,Empoli,vs,Spal
2018/4/20 21:00,Genoa,vs,Torino
2018/4/20 21:00,Juventus,vs,Fiorentina
2018/4/20 21:00,Lazio,vs,Chievo
2018/4/20 21:00,Napoli,vs,Atalanta
2018/4/20 21:00,Parma,vs,Milan
2018/4/20 21:00,Udinese,vs,Sassuolo
2018/4/21 2:30,Inter,vs,Roma
2018/4/28 2:30,Inter,vs,Juventus
2018/4/28 21:00,Atalanta,vs,Udinese
2018/4/28 21:00,Bologna,vs,Empoli
2018/4/28 21:00,Chievo,vs,Parma
2018/4/28 21:00,Fiorentina,vs,Sassuolo
2018/4/28 21:00,Frosinone,vs,Napoli
2018/4/28 21:00,Roma,vs,Cagliari
2018/4/28 21:00,Spal,vs,Genoa
2018/4/28 21:00,Sampdoria,vs,Lazio
2018/4/28 21:00,Torino,vs,Milan
2018/5/5 21:00,Chievo,vs,Spal
2018/5/5 21:00,Empoli,vs,Fiorentina
2018/5/5 21:00,Genoa,vs,Roma
2018/5/5 21:00,Juventus,vs,Torino
2018/5/5 21:00,Lazio,vs,Atalanta
2018/5/5 21:00,Milan,vs,Bologna
2018/5/5 21:00,Napoli,vs,Cagliari
2018/5/5 21:00,Parma,vs,Sampdoria
2018/5/5 21:00,Sassuolo,vs,Frosinone
2018/5/5 21:00,Udinese,vs,Inter
2018/5/12 21:00,Atalanta,vs,Genoa
2018/5/12 21:00,Bologna,vs,Parma
2018/5/12 21:00,Cagliari,vs,Lazio
2018/5/12 21:00,Fiorentina,vs,Milan
2018/5/12 21:00,Frosinone,vs,Udinese
2018/5/12 21:00,Inter,vs,Chievo
2018/5/12 21:00,Spal,vs,Napoli
2018/5/12 21:00,Sampdoria,vs,Empoli
2018/5/12 21:00,Torino,vs,Sassuolo
2018/5/13 2:30,Roma,vs,Juventus
2018/5/19 21:00,Chievo,vs,Sampdoria
2018/5/19 21:00,Empoli,vs,Torino
2018/5/19 21:00,Genoa,vs,Cagliari
2018/5/19 21:00,Juventus,vs,Atalanta
2018/5/19 21:00,Lazio,vs,Bologna
2018/5/19 21:00,Milan,vs,Frosinone
2018/5/19 21:00,Parma,vs,Fiorentina
2018/5/19 21:00,Sassuolo,vs,Roma
2018/5/19 21:00,Udinese,vs,Spal
2018/5/20 2:30,Napoli,vs,Inter
2018/5/26 21:00,Atalanta,vs,Sassuolo
2018/5/26 21:00,Bologna,vs,Napoli
2018/5/26 21:00,Cagliari,vs,Udinese
2018/5/26 21:00,Fiorentina,vs,Genoa
2018/5/26 21:00,Frosinone,vs,Chievo
2018/5/26 21:00,Inter,vs,Empoli
2018/5/26 21:00,Roma,vs,Parma
2018/5/26 21:00,Spal,vs,Milan
2018/5/26 21:00,Sampdoria,vs,Juventus
2018/5/26 21:00,Torino,vs,Lazio
